,business_status,formatted_address,formatted_phone_number,rating,types,url,user_ratings_total,location,name
ChIJCxz9MSW_35QRUXezb5Z535E,OPERATIONAL,"Aurora - State of Santa Catarina, 89186-000, Brazil",(47) 99118-0921,4,"['car_repair', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=10511253742332114769,3,"{'lat': -27.2985382, 'lng': -49.6448196}",K2 Pneus
ChIJV6c-3MhNJ5URZtC6fQ-X9LU,OPERATIONAL,"R. 13 de Maio - Prado, Biguaçu - SC, 88160-000, Brazil",(48) 99175-7535,4.9,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=13111270507972055142,31,"{'lat': -27.4855321, 'lng': -48.6554289}",Tap Pneus
ChIJVbmRszVMJ5URuwhGsJPMZXU,OPERATIONAL,"Centro, Biguaçu - State of Santa Catarina, 88160-000, Brazil",,0,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=8459392409774983355,,"{'lat': -27.4972527, 'lng': -48.65664289999999}",Gs Pneus
ChIJqYhpaqI1J5URBUF_HwLkBj4,OPERATIONAL,"R. Pref. Reinoldo Alves - Passa Vinte, Palhoça - SC, 88132-000, Brazil",(48) 3344-3000,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=4469510377981296901,22,"{'lat': -27.6384203, 'lng': -48.66743109999999}",Wdx Pneus
ChIJc0neLOA1J5URpLwYRk_j3Hk,OPERATIONAL,"Rua Benjamin Gerlach, 701 - Fazenda Santo Antônio, São José - SC, 88104-400, Brazil",,0,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=8781143303083572388,,"{'lat': -27.6206881, 'lng': -48.63934649999999}",Kiko Pneus
ChIJL7UOq4lLJ5URgsNMlivn9R4,OPERATIONAL,"Lisboa, São José - State of Santa Catarina, 88107-350, Brazil",,5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=2230943364823171970,3,"{'lat': -27.5768512, 'lng': -48.6679255}",Marquinhos Pneus
ChIJ07yatkNJJ5UR7BuUg86vcF0,OPERATIONAL,"Rod br, 101 -5350 - Serraria, SC, 88115-100, Brazil",(48) 3258-0527,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=6733074744424537068,5,"{'lat': -27.5270857, 'lng': -48.6342772}",Recauchutadora Volnei
ChIJw4EtIOBJJ5URy4Nidr-FD3E,OPERATIONAL,"R. Camilo Veríssimo da Silva, 350a - Roçado, São José - SC, 88108-250, Brazil",(48) 3259-1803,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=8146877308307932107,11,"{'lat': -27.5952297, 'lng': -48.6196109}",Borracha Pneus
ChIJs7vMwGhLJ5URZQPuUbWr768,OPERATIONAL,"R. Ver. Arthur Manoel Mariano, 2018 - Forquilhinhas, São José - SC, 88106-501, Brazil",(48) 3208-0001,3,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=12677540271323218789,1,"{'lat': -27.596052, 'lng': -48.64869700000001}",Pvl Pneus Auto Center
ChIJmXhNKedJJ5URIR1NRvBlP0k,OPERATIONAL,"R. Fagundes Varela, 1840 - Areias, São José - SC, 88113-800, Brazil",(48) 3094-6699,4.5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=5278049370947525921,87,"{'lat': -27.5578037, 'lng': -48.6321138}",Godino Auto Center
ChIJT65ykfzKIJURrYxajZa0ZYg,OPERATIONAL,"R. Pres. Castelo Branco, 260 - Vila Becker, Santo Amaro da Imperatriz - SC, 88140-000, Brazil",(48) 3245-6252,4.8,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=9828460320515591341,48,"{'lat': -27.6792617, 'lng': -48.7508309}",Ferreira Oficina Mecanica
ChIJBZFqfWY1J5URIoySdnb6c0U,OPERATIONAL,"Rua roney henrique haiderachaidth 124 - Jardim Eldorado, Palhoça - SC, 88132-599, Brazil",(48) 99618-2604,0,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=5004618997641153570,,"{'lat': -27.6159028, 'lng': -48.6624078}",PNEUS DE CARGA PALHOÇA
ChIJ09s_Zba1JpUR8Qb6ZbR0u-c,OPERATIONAL,"Av. Renato Ramos da Silva, 2745 - Vila Nova, Imbituba - SC, 88780-000, Brazil",(48) 3355-5292,5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=16698068361560065777,1,"{'lat': -28.2617738, 'lng': -48.6890211}",ALP PNEUS
ChIJxa9jVRNJJ5URRhbwTDZ72BE,OPERATIONAL,"R. Heriberto Hulse, 4480 - Serraria, São José - SC, 88115-000, Brazil",(48) 3258-0117,4.7,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=1285913166763529798,106,"{'lat': -27.5422071, 'lng': -48.6199002}",SBM Recapagem de Pneus
ChIJhbbV_W9JJ5UR_6KZ1sIXsIg,OPERATIONAL,"R. Jorge Turíbio Rodrigues, 510 - Areias, São José - SC, 88113-620, Brazil",(48) 3346-1209,4.9,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=9849398510650761983,7,"{'lat': -27.5525356, 'lng': -48.6211788}",Guga Pneus
ChIJw25AUW02J5URkg91q1zp2eg,OPERATIONAL,"R. Padre Cunha, 3638 - Centro Histórico, São José - SC, 88103-200, Brazil",(48) 3094-7744,4.9,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=16778698470968332178,26,"{'lat': -27.6195033, 'lng': -48.6282365}",Ancelmos Auto Center
ChIJszXHsjVMJ5URwXyR0yP_TEw,OPERATIONAL,"R. Getúlio Vargas, 165 - Centro, Biguaçu - SC, 88160-128, Brazil",(48) 3299-5432,4.9,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=5498049774450998465,12,"{'lat': -27.4970205, 'lng': -48.6564916}",AUTO CAR AUTO CENTER
ChIJ78p3FKQ1J5URPetpzXiL-Y8,OPERATIONAL,"Av. Rio Grande, 1263 - Rio Grande, Palhoça - SC, 88131-600, Brazil",(48) 99821-5854,5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=10374476567583255357,2,"{'lat': -27.6626586, 'lng': -48.6618442}",CIA DOS PNEUS
